2025-10-28T05:29:58+00:00 INFO {"Value":"-5","RetStatus":35,"StrRetStatus":"InvalidData"}
2025-10-28T05:35:17+00:00 INFO {"Value":"5047602027382674712","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:50+00:00 INFO {"Value":"4959123701448322365","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:52+00:00 INFO {"Value":"5501415092874186378","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:53+00:00 INFO {"Value":"4649663388092299240","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:54+00:00 INFO {"Value":"5149177539841544437","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:56+00:00 INFO {"Value":"5693958597173886459","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:57+00:00 INFO {"Value":"5649324647471163379","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:58+00:00 INFO {"Value":"4768813458864451734","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:51:59+00:00 INFO {"Value":"4924144816285016806","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:00+00:00 INFO {"Value":"5165997762107350222","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:01+00:00 INFO {"Value":"4901031580916237147","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:02+00:00 INFO {"Value":"4924504050166498762","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:04+00:00 INFO {"Value":"5754244226812875055","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:05+00:00 INFO {"Value":"5140732061069835720","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:06+00:00 INFO {"Value":"5230847838425876820","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:07+00:00 INFO {"Value":"5666497605630964587","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:08+00:00 INFO {"Value":"2","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:09+00:00 INFO {"Value":"2","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:09+00:00 INFO {"Value":"2","RetStatus":1,"StrRetStatus":"Ok"}
2025-10-28T06:52:10+00:00 INFO {"Value":"2","RetStatus":1,"StrRetStatus":"Ok"}
